Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
23-05-2023,07:46,22-05-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Retención del dividendo,,EUR,-5.15,EUR,235.35,
19-05-2023,17:19,19-05-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 305,01 EUR",,,,EUR,240.50,
19-05-2023,17:19,19-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,305.01,EUR,545.51,
19-05-2023,13:54,19-05-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Spanish Transaction Tax,,EUR,-0.41,EUR,240.50,5e259216-e463-4e87-a14a-8967f0db9a15
19-05-2023,13:54,19-05-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Spanish Transaction Tax,,EUR,-0.20,EUR,240.91,5e259216-e463-4e87-a14a-8967f0db9a15
19-05-2023,13:54,19-05-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,241.11,5e259216-e463-4e87-a14a-8967f0db9a15
19-05-2023,13:54,19-05-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,"Compra 27 MERLIN Properties SOCIMI SA@7,56 EUR (ES0105025003)",,EUR,-204.12,EUR,243.11,5e259216-e463-4e87-a14a-8967f0db9a15
19-05-2023,13:54,19-05-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,"Compra 13 MERLIN Properties SOCIMI SA@7,56 EUR (ES0105025003)",,EUR,-98.28,EUR,447.23,5e259216-e463-4e87-a14a-8967f0db9a15
19-05-2023,11:01,19-05-2023,,,flatex Deposit,,EUR,300.00,EUR,545.51,
05-05-2023,17:19,05-05-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,17 EUR",,,,EUR,245.51,
05-05-2023,17:19,05-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.17,EUR,245.34,
05-05-2023,05:30,02-05-2023,IBERDROLA,ES0144580Y14,Dividendo,,EUR,0.21,EUR,245.51,
05-05-2023,05:30,02-05-2023,IBERDROLA,ES0144580Y14,Retención del dividendo,,EUR,-0.04,EUR,245.30,
03-05-2023,11:49,02-05-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 306,3 EUR",,,,EUR,245.34,
03-05-2023,11:49,02-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,306.30,EUR,551.64,
02-05-2023,18:01,02-05-2023,NINTENDO CO LTD,JP3756600007,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,245.34,02ddb8dd-0e3b-4eca-adbe-d29398c6ce65
02-05-2023,18:01,02-05-2023,NINTENDO CO LTD,JP3756600007,"Compra 8 Nintendo Co Ltd@37,8 EUR (JP3756600007)",,EUR,-302.40,EUR,249.24,02ddb8dd-0e3b-4eca-adbe-d29398c6ce65
02-05-2023,17:19,02-05-2023,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 244 EUR,,,,EUR,551.64,
02-05-2023,17:19,02-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-244.00,EUR,307.64,
02-05-2023,09:25,02-05-2023,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,551.64,254b6562-3d35-48fe-ba3a-09b53f50109b
02-05-2023,09:25,02-05-2023,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,"Venta 140 International Consolidated Airlines Group SA@1,75 EUR (ES0177542018)",,EUR,245.00,EUR,552.64,254b6562-3d35-48fe-ba3a-09b53f50109b
26-04-2023,17:20,26-04-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 198,89 EUR",,,,EUR,307.64,
26-04-2023,17:20,26-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,198.89,EUR,506.53,
26-04-2023,09:45,26-04-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Spanish Transaction Tax,,EUR,-0.40,EUR,307.64,c781cdf1-f3d3-46b5-95b9-5eb27f6c9d31
26-04-2023,09:45,26-04-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,308.04,c781cdf1-f3d3-46b5-95b9-5eb27f6c9d31
26-04-2023,09:45,26-04-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,"Compra 26 MERLIN Properties SOCIMI SA@7,7 EUR (ES0105025003)",,EUR,-200.20,EUR,309.04,c781cdf1-f3d3-46b5-95b9-5eb27f6c9d31
25-04-2023,07:34,24-04-2023,,,Ingreso Cambio de Divisa,,EUR,2.71,EUR,509.24,
25-04-2023,07:34,24-04-2023,,,Retirada Cambio de Divisa,1.1074,USD,-3.00,USD,0.00,
24-04-2023,07:09,21-04-2023,DOLE PLC,IE0003LFZ4U7,Dividendo,,USD,4.00,USD,3.00,
24-04-2023,07:09,21-04-2023,DOLE PLC,IE0003LFZ4U7,Retención del dividendo,,USD,-1.00,USD,-1.00,
19-04-2023,11:11,19-04-2023,,,flatex Deposit,,EUR,300.00,EUR,506.53,
05-04-2023,17:34,05-04-2023,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 8 EUR,,,,EUR,206.53,
05-04-2023,17:34,05-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-8.00,EUR,198.53,
05-04-2023,05:14,03-04-2023,EBRO FOODS,ES0112501012,Dividendo,,EUR,9.88,EUR,206.53,
05-04-2023,05:14,03-04-2023,EBRO FOODS,ES0112501012,Retención del dividendo,,EUR,-1.88,EUR,196.65,
