Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
19-07-2021,10:31,INT.AIRL.GRP,ES0177542018,MAD,MESI,30,1.8780,EUR,-56.34,EUR,-56.34,EUR,,-2.03,EUR,-58.37,EUR,14503f7a-1481-4d21-b894-2647067a5096
19-07-2021,10:30,INT.AIRL.GRP,ES0177542018,MAD,MESI,65,1.8775,EUR,-122.04,EUR,-122.04,EUR,,-2.06,EUR,-124.10,EUR,9e2c628c-3703-4492-9b95-80a5e66f09f8
14-07-2021,09:01,INT.AIRL.GRP,ES0177542018,MAD,XMAD,110,2.0000,EUR,-220.00,EUR,-220.00,EUR,,-2.11,EUR,-222.11,EUR,7f4abb17-a46a-4d9b-86eb-435bb6ca7a4f
08-07-2021,09:54,IBERDROLA SA-RTS,ES06445809M0,MAD,,40,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
08-07-2021,09:54,IBERDROLA - NON TRADEABLE,ES06445809M0,DEG,,-40,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
08-07-2021,00:00,IBERDROLA - NON TRADEABLE,ES06445809M0,DEG,,40,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
31-05-2021,11:20,FERROVIAL SA-RTS - NON TRADEABLE,ES06189009H7,DEG,,-15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
19-05-2021,00:00,FERROVIAL SA-RTS - NON TRADEABLE,ES06189009H7,DEG,,15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
19-05-2021,00:00,FERROVIAL SA-RTS,ES06189009H7,MAD,,-15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
13-05-2021,00:00,FERROVIAL SA-RTS,ES06189009H7,MAD,,15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
14-04-2021,21:20,COINBASE GLOBAL INC -CLASS A,US19260Q1076,NDQ,CDED,-1,337.3500,USD,337.35,USD,281.78,EUR,1.1972,-0.50,EUR,281.28,EUR,e6d1fbe8-b77b-442f-9e04-b79a7f456671
14-04-2021,19:54,COINBASE GLOBAL INC -CLASS A,US19260Q1076,NDQ,CDED,2,384.7500,USD,-769.50,USD,-642.16,EUR,1.1983,-0.51,EUR,-642.67,EUR,e36d43d9-7b15-4294-a942-9617fc1b2c27
16-02-2021,11:26,REDEIA CORPORACION SA,ES0173093024,MAD,XMAD,17,14.8800,EUR,-252.96,EUR,-252.96,EUR,,-2.13,EUR,-255.09,EUR,88a1c396-2206-468e-a334-b6aa809c9382
16-02-2021,10:43,ENAGAS SA,ES0130960018,MAD,XMAD,22,17.9000,EUR,-393.80,EUR,-393.80,EUR,,-2.20,EUR,-396.00,EUR,b39b5f70-03b9-4308-ab2e-8a2a1720635d
10-02-2021,00:00,IBERDROLA,ES0144580Y14,MAD,,40,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
10-02-2021,00:00,IBERDROLA SA-RTS,ES06445809L2,MAD,,-2800,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
